"diet","tissue","FA","avg_CC","SD_CC","n_CC","avg_FA","avg_diet"
"Clam","Claw muscle","14:0",0.53719054475754,0.162893230764204,6,0.871669474833333,1.62264485728571
"Clam","Claw muscle","14:1",0.548580067378718,0.522476735413083,6,0.036559999,0.066644782
"Clam","Claw muscle","15:0",0.669937465356127,0.0929201390650943,6,0.623709774166667,0.930997005571429
"Clam","Claw muscle","15:1",0.771018600089027,0.105658658498018,6,0.181799742333333,0.235791642785714
"Clam","Claw muscle","16:0",0.947477650926994,0.0883935917175848,6,12.97989571,13.6994215085714
"Clam","Claw muscle","16:1n-7",2.55158699368375,0.34942939608202,6,6.22028578466667,2.43781058614286
"Clam","Claw muscle","17:0",0.889911973961762,0.12324010794106,6,0.852636682166667,0.958113506857143
"Clam","Claw muscle","17:1",1.15257587232187,0.161211422926803,6,0.949131155,0.823486919857143
"Clam","Claw muscle","18:0",0.824726034467625,0.0689344281194372,6,5.8781030555,7.12734024371429
"Clam","Claw muscle","18:1n-7",1.45684802000438,0.182312158639594,6,2.82651391433333,1.94015702085714
"Clam","Claw muscle","18:1n-9-cis",3.90846761520986,0.479555701930518,6,10.3982083948333,2.66043099714286
"Clam","Claw muscle","18:1n-9-trans",1.34525369403514,0.190380460859548,6,0.405008205333333,0.301064555428571
"Clam","Claw muscle","18:2n-4",1.98465685739639,2.93884541377922,6,0.0358633295,0.0180702922857143
"Clam","Claw muscle","18:2n-6-cis",1,0,6,0.005,0.005
"Clam","Claw muscle","18:2n-6-trans",0.634622553868647,0.513816332830722,6,0.0696585398333333,0.109763731857143
"Clam","Claw muscle","18:3n-3",0.928945279559388,0.205910960956624,6,0.3162136355,0.340400713
"Clam","Claw muscle","18:3n-6",1.22805470388113,0.220842108192472,6,0.168671851666667,0.137348809571429
"Clam","Claw muscle","18:4n-3",0.373650995836253,0.555161397502594,6,0.0470547258333333,0.125932290714286
"Clam","Claw muscle","18:4n-3-cis",6.5055549,10.2882832048333,6,0.0325277745,0.005
"Clam","Claw muscle","20:0",1.01625929826364,0.217510238501613,6,0.19486855,0.191750816285714
"Clam","Claw muscle","20:1",0.491537692840257,0.252760767614865,6,1.09314995883333,2.22393923142857
"Clam","Claw muscle","20:1n-9",0.442531791187187,0.0738092819723933,6,0.7995762955,1.80682227
"Clam","Claw muscle","20:2n-11,14-cis",0.0468650810542987,0.0704232841607298,6,0.041064195,0.876221572142857
"Clam","Claw muscle","20:3n-3",1.29292352671618,0.404785139975469,6,0.123401030166667,0.0954434099285714
"Clam","Claw muscle","20:3n-6",0.888624494875766,0.129141847261684,6,0.189500028833333,0.2132509625
"Clam","Claw muscle","20:4n-3",0.270944498750549,0.301147016838124,6,0.122072241666667,0.450543348285714
"Clam","Claw muscle","20:4n-6",1.42792780043131,0.117576229344919,6,4.05385560183333,2.83897799357143
"Clam","Claw muscle","20:5n-3",1.87787691237359,0.145340796971634,6,16.8590490116667,8.97771781557143
"Clam","Claw muscle","21:0",3.93831149653587,0.535206491468067,6,0.832454844333333,0.211373540428571
"Clam","Claw muscle","22:0",5.04720938643309,5.432513259946,6,0.0761051261666667,0.0150786544285714
"Clam","Claw muscle","22:1n-9",4.2017305613478,1.28573556843563,6,0.281167429666667,0.0669170537142857
"Clam","Claw muscle","22:2",0.0936066985916324,0,6,0.005,0.0534149807142857
"Clam","Claw muscle","22:5n-3",0.544232437866404,0.0440091801804835,6,1.762727435,3.23892387214286
"Clam","Claw muscle","22:6n-3",0.861323156407776,0.0351881718420803,6,16.8044935716667,19.5100914757143
"Clam","Claw muscle","23:0",1.21240065173651,0.881622891597256,6,0.0673491733333333,0.0555502615714286
"Clam","Claw muscle","24:0",0.33407670831895,0.0743298407595302,6,0.4955405945,1.48331380835714
"Clam","Claw muscle","24:1n-9",0.457182234196723,0.0528227758240118,6,0.536834959166667,1.17422532857143
"Clam","Hepatopancreas","14:0",0.902831271687227,0.124558032433325,6,1.46497452,1.62264485728571
"Clam","Hepatopancreas","14:1",4.68322139608769,1.01653857601553,6,0.312112269,0.066644782
"Clam","Hepatopancreas","15:0",0.926947607065949,0.0893351663528905,6,0.8629854465,0.930997005571429
"Clam","Hepatopancreas","15:1",1.73151504583946,0.136931683591702,6,0.408276777166667,0.235791642785714
"Clam","Hepatopancreas","16:0",0.954785300251508,0.144945719800078,6,13.0800062783333,13.6994215085714
"Clam","Hepatopancreas","16:1n-7",4.27966699537854,0.643181443361534,6,10.4330175065,2.43781058614286
"Clam","Hepatopancreas","17:0",0.524189568952138,0.0677997050266825,6,0.502233106166667,0.958113506857143
"Clam","Hepatopancreas","17:1",0.811277695763802,0.0852778698727326,6,0.668076570833333,0.823486919857143
"Clam","Hepatopancreas","18:0",0.526737072918272,0.0595437415117711,6,3.75423433766667,7.12734024371429
"Clam","Hepatopancreas","18:1n-7",1.57428353942401,0.106665696747848,6,3.05435726183333,1.94015702085714
"Clam","Hepatopancreas","18:1n-9-cis",3.19815457838883,0.298688672347956,6,8.508469574,2.66043099714286
"Clam","Hepatopancreas","18:1n-9-trans",1.45170625021326,0.372199703225938,6,0.437057296833333,0.301064555428571
"Clam","Hepatopancreas","18:2n-4",6.3868916548318,3.05233292953983,6,0.115412999,0.0180702922857143
"Clam","Hepatopancreas","18:2n-6-cis",7.0267001,4.90746821294802,6,0.0351335005,0.005
"Clam","Hepatopancreas","18:2n-6-trans",0.869504955949824,0.435204153715276,6,0.0954401088333333,0.109763731857143
"Clam","Hepatopancreas","18:3n-3",0.66827521402205,0.0703046668434861,6,0.227481359333333,0.340400713
