"diet","tissue","avg_d15N_DF","SD_d15N_DF","n_d15N_DF","avg_d13C_DF","SD_d13C_DF","n_d13C_DF"
"Blood","liver",-6.46833333333333,0.648825024982451,24,-4.60916666666667,1.20975353820041,24
"Blood","muscle",-3.57166666666667,0.587854857369856,21,0.551666666666665,1.26374971150673,21
"Brine","liver",2.45791666666667,0.770783410055893,25,1.37333333333333,1.460089336159,25
"Brine","muscle",3.17254901960784,0.435216308626087,17,3.5506862745098,0.773357367358105,17
